feature,score
"['UNRATENSA', 'EXKOUS', 'KORPROINDMISMEI']",-1.478746048
"['EXKOUS', '통화량', 'KORPROINDMISMEI']",-1.479527547
"['BAA', 'TCU', '자가주거비포함지수']",-1.480510766
"['LREMTTTTUSM156S', 'EXKOUS', 'IR3TCD01KRM156N']",-1.480836274
"['TOTALSA', 'UMCSENT', 'XTIMVA01KRM667S']",-1.481097525
"['TOTALSA', 'GACDFSA066MSFRBPHI', 'XTIMVA01KRM667S']",-1.483475052
"['UNRATENSA', 'EXKOUS', '통화량']",-1.483512683
"['TWEXBMTH', 'TCU', 'KORPROINDMISMEI']",-1.483706405
"['PCE', 'EXKOUS', 'IR3TCD01KRM156N']",-1.48454285
"['ISM_PMI_Actual', 'TOTALSA', 'XTEXVA01CNM667S']",-1.484680779
"['PCE', 'LREMTTTTUSM156S', '서울아파트매매가격지수']",-1.484970561
"['BAA', 'UNRATE', 'LRUNTTTTKRM156S']",-1.486311331
"['ISM_PMI_Actual', 'TOTALSA', 'GACDFSA066MSFRBPHI']",-1.486342727
"['BAA', '수출물가지수', '한국실업률']",-1.487771221
"['INDPRO', '자가주거비', 'EXKOUS']",-1.488939463
"['BAA', '자가주거비', 'EXKOUS']",-1.489896627
"['TOTALSA', 'GACDFSA066MSFRBPHI', '한국실업률']",-1.491403001
"['서울아파트매매가격지수', 'XTEXVA01CNM667S', 'XTIMVA01KRM667S']",-1.491702458
"['TCU', '자가주거비포함지수', 'EXKOUS']",-1.493191068
"['LREMTTTTUSM156S', 'EXKOUS', '통화량']",-1.494285291
"['BAA', 'INDPRO', 'TOTALSA']",-1.495812139
"['자가주거비', 'EXKOUS', '정책금리']",-1.495900782
"['HSN1F', 'EXKOUS', '통화량']",-1.497978846
"['서울아파트매매가격지수', '정책금리', 'KORCPIALLMINMEI']",-1.498891046
"['자가주거비포함지수', 'EXKOUS', 'LRUNTTTTKRM156S']",-1.500029898
"['ISM_PMI_Actual', '자가주거비', 'EXKOUS']",-1.500559885
"['자가주거비포함지수', 'EXKOUS', 'IR3TCD01KRM156N']",-1.501955266
"['ISM_PMI_Actual', 'TCU', 'TOTALSA']",-1.502857811
"['자가주거비포함지수', 'EXKOUS', 'KORPROINDMISMEI']",-1.503177939
"['PCE', 'INDPRO', 'EXKOUS']",-1.504352629
"['BAA', 'KORPROINDMISMEI', 'LRUNTTTTKRM156S']",-1.504845968
"['T10Y2YM', 'EXKOUS', 'IR3TCD01KRM156N']",-1.505251134
"['BAA', 'TCU', '자가주거비']",-1.506370393
"['BAA', 'KORPROINDMISMEI', 'IR3TCD01KRM156N']",-1.506473668
"['PCE', 'TWEXBMTH', 'EXKOUS']",-1.507111852
"['BAA', '수출물가지수', '통화량']",-1.508106764
"['BAA', 'CPIAUCSL', 'GACDFSA066MSFRBPHI']",-1.508448476
"['BAA', '자가주거비포함지수', 'EXKOUS']",-1.510170921
"['BAA', 'GACDFSA066MSFRBPHI', 'KORPROINDMISMEI']",-1.510282369
"['자가주거비포함지수', 'EXKOUS', '통화량']",-1.510827266
"['BAA', '자가주거비포함지수', 'KORPROINDMISMEI']",-1.512099917
"['UNRATE', 'PCE', 'EXKOUS']",-1.512714093
"['ISM_PMI_Actual', '자가주거비포함지수', 'EXKOUS']",-1.513119391
"['TOTALSA', '수출물가지수', 'KORPROINDMISMEI']",-1.513309672
"['PCE', 'FEDFUNDS', 'EXKOUS']",-1.515958956
"['TWEXBMTH', '수출물가지수', 'EXKOUS']",-1.51684248
"['BAA', 'LREMTTTTUSM156S', '수출물가지수']",-1.51730672
"['BAA', 'EXKOUS', '통화량']",-1.518564437
"['HSN1F', '자가주거비', 'EXKOUS']",-1.520317236
"['BAA', '통화량', '환율평균']",-1.520666557
"['FEDFUNDS', '자가주거비', 'EXKOUS']",-1.521930549
"['NEWORDER', 'TOTALSA', 'GACDFSA066MSFRBPHI']",-1.523192476
"['LREMTTTTUSM156S', '자가주거비포함지수', 'EXKOUS']",-1.523541694
"['BAA', 'TCU', '수출물가지수']",-1.525006166
