DATE,Open,High,Low,Close,Adj Close,Volume,ac-rate,cm4,cm4up,cm4down,cm4normal,cm5,cm5up,cm5down,cm5normal
2013-01-01,13104.29981,13969.99023,13104.29981,13860.58008,13860.58008,2786680000,5.77%,1,1,0,0,1,1,0,0
2013-02-01,13860.58008,14149.15039,13784.00977,14054.49023,14054.49023,2487580000,1.40%,0,0,0,1,0,0,0,1
2013-03-01,14054.49023,14585.09961,13937.59961,14578.54004,14578.54004,2546320000,3.73%,0,0,0,1,0,0,0,1
2013-04-01,14578.54004,14887.50977,14434.42969,14839.79981,14839.79981,2920230000,1.79%,0,0,0,1,0,0,0,1
2013-05-01,14839.79981,15542.40039,14687.04981,15115.57031,15115.57031,2771510000,1.86%,0,0,0,1,0,0,0,1
2013-06-01,15123.54981,15340.08984,14551.26953,14909.59961,14909.59961,2929040000,-1.36%,0,0,0,1,0,0,0,1
2013-07-01,14911.59961,15634.32031,14858.92969,15499.54004,15499.54004,2623130000,3.96%,0,0,0,1,0,0,0,1
2013-08-01,15503.84961,15658.42969,14760.41016,14810.30957,14810.30957,2327660000,-4.45%,-1,0,1,0,0,0,0,1
2013-09-01,14801.54981,15709.58008,14777.48047,15129.66992,15129.66992,2371540000,2.16%,0,0,0,1,0,0,0,1
2013-10-01,15132.49023,15721,14719.42969,15545.75,15545.75,2206620000,2.75%,0,0,0,1,0,0,0,1
2013-11-01,15558.00977,16174.50977,15522.17969,16086.41016,16086.41016,1820260000,3.48%,0,0,0,1,0,0,0,1
2013-12-01,16087.12012,16588.25,15703.79004,16576.66016,16576.66016,2057160000,3.05%,0,0,0,1,0,0,0,1
2014-01-01,16572.16992,16573.07031,15617.54981,15698.84961,15698.84961,2177040000,-5.30%,-1,0,1,0,-1,0,1,0
2014-02-01,15697.69043,16398.94922,15340.69043,16321.70996,16321.70996,2067820000,3.97%,0,0,0,1,0,0,0,1
2014-03-01,16321.70996,16505.69922,16046.99023,16457.66016,16457.66016,2095940000,0.83%,0,0,0,1,0,0,0,1
2014-04-01,16458.05078,16631.63086,16015.32031,16580.83984,16580.83984,1986960000,0.75%,0,0,0,1,0,0,0,1
2014-05-01,16580.25977,16735.50977,16341.29981,16717.16992,16717.16992,1643160000,0.82%,0,0,0,1,0,0,0,1
2014-06-01,16716.84961,16978.01953,16673.65039,16826.59961,16826.59961,1755480000,0.65%,0,0,0,1,0,0,0,1
2014-07-01,16828.5293,17151.56055,16563.30078,16563.30078,16563.30078,1690880000,-1.56%,0,0,0,1,0,0,0,1
2014-08-01,16561.69922,17153.80078,16333.78027,17098.44922,17098.44922,1482600000,3.23%,0,0,0,1,0,0,0,1
2014-09-01,17097.41992,17350.64063,16934.42969,17042.90039,17042.90039,1870550000,-0.32%,0,0,0,1,0,0,0,1
2014-10-01,17040.46094,17395.53906,15855.12012,17390.51953,17390.51953,2903240000,2.04%,0,0,0,1,0,0,0,1
2014-11-01,17390.90039,17894.83008,17278.35938,17828.24023,17828.24023,1516490000,2.52%,0,0,0,1,0,0,0,1
2014-12-01,17827.26953,18103.44922,17067.58984,17823.07031,17823.07031,2216900000,-0.03%,0,0,0,1,0,0,0,1
2015-01-01,17823.07031,17951.7793,17136.30078,17164.94922,17164.94922,2173260000,-3.69%,0,0,0,1,0,0,0,1
2015-02-01,17169.99023,18244.38086,17037.75977,18132.69922,18132.69922,1751250000,5.64%,1,1,0,0,1,1,0,0
2015-03-01,18134.05078,18288.63086,17579.26953,17776.11914,17776.11914,2470480000,-1.97%,0,0,0,1,0,0,0,1
2015-04-01,17778.51953,18175.56055,17585.00977,17840.51953,17840.51953,2174880000,0.36%,0,0,0,1,0,0,0,1
2015-05-01,17859.26953,18351.35938,17733.11914,18010.67969,18010.67969,1832450000,0.95%,0,0,0,1,0,0,0,1
2015-06-01,18017.82031,18188.81055,17576.5,17619.50977,17619.50977,2219240000,-2.17%,0,0,0,1,0,0,0,1
2015-07-01,17638.11914,18137.11914,17399.16992,17689.85938,17689.85938,2034220000,0.40%,0,0,0,1,0,0,0,1
2015-08-01,17696.74023,17704.75977,15370.33008,16528.0293,16528.0293,2726340000,-6.57%,-1,0,1,0,-1,0,1,0
2015-09-01,16528.0293,16933.42969,15942.37012,16284.7002,16284.7002,2724080000,-1.47%,0,0,0,1,0,0,0,1
2015-10-01,16278.62012,17799.96094,16013.66016,17663.53906,17663.53906,2605470000,8.47%,1,1,0,0,1,1,0,0
2015-11-01,17672.61914,17977.84961,17210.42969,17719.91992,17719.91992,2334610000,0.32%,0,0,0,1,0,0,0,1
2015-12-01,17719.7207,17901.58008,17116.73047,17425.0293,17425.0293,2521440000,-1.66%,0,0,0,1,0,0,0,1
