,bias,미국 내구재 주문,미국 생산 자원사용률,미국 신규 실업수당 청구건수,"미국 항공기 제외, 비국방 자본재 주문",중국 차이신 PMI Actual
5584,1,191625.0,74.5955,4478000.0,58633.0,49.4
2618,1,191625.0,74.5955,4478000.0,58633.0,49.4
2617,1,191625.0,74.5955,4478000.0,58633.0,49.4
2616,1,191625.0,74.5955,4478000.0,58633.0,49.4
2615,1,191625.0,74.5955,4478000.0,58633.0,49.4
2614,1,191625.0,74.5955,4478000.0,58633.0,49.4
5585,1,191625.0,74.5955,4432000.0,58633.0,49.4
2613,1,191625.0,74.5955,4432000.0,58633.0,49.4
2612,1,191625.0,74.5955,4432000.0,58633.0,49.4
2611,1,191625.0,74.5955,4432000.0,58633.0,49.4
2610,1,191625.0,74.5955,4432000.0,58633.0,49.4
2609,1,191625.0,74.5955,4432000.0,58633.0,49.4
5586,1,191625.0,74.5955,4426000.0,58633.0,49.4
2608,1,191625.0,74.5955,4426000.0,58633.0,49.4
2607,1,191625.0,74.5955,4426000.0,58633.0,49.4
2606,1,191625.0,74.5955,4426000.0,58633.0,49.4
2605,1,191625.0,74.5955,4426000.0,58633.0,49.4
2604,1,191625.0,74.5955,4426000.0,58633.0,49.4
5587,1,191625.0,74.5955,4509000.0,58633.0,49.4
2603,1,191625.0,74.5955,4509000.0,58633.0,49.4
2602,1,191625.0,74.5955,4509000.0,58633.0,49.4
376,1,200257.0,74.8797,4509000.0,59839.0,51.9
2601,1,200257.0,74.8797,4509000.0,59839.0,51.9
2600,1,200257.0,74.8797,4509000.0,59839.0,51.9
5588,1,200257.0,74.8797,4501000.0,59839.0,51.9
2599,1,200257.0,74.8797,4501000.0,59839.0,51.9
2598,1,200257.0,74.8797,4501000.0,59839.0,51.9
2597,1,200257.0,74.8797,4501000.0,59839.0,51.9
2596,1,200257.0,74.8797,4501000.0,59839.0,51.9
2595,1,200257.0,74.8797,4501000.0,59839.0,51.9
5589,1,200257.0,74.8797,4487000.0,59839.0,51.9
2594,1,200257.0,74.8797,4487000.0,59839.0,51.9
2593,1,200257.0,74.8797,4487000.0,59839.0,51.9
2592,1,200257.0,74.8797,4487000.0,59839.0,51.9
2591,1,200257.0,74.8797,4487000.0,59839.0,51.9
2590,1,200257.0,74.8797,4487000.0,59839.0,51.9
5590,1,200257.0,74.8797,4452000.0,59839.0,51.9
2589,1,200257.0,74.8797,4452000.0,59839.0,51.9
2588,1,200257.0,74.8797,4452000.0,59839.0,51.9
5591,1,200257.0,74.8797,4431000.0,59839.0,51.9
2587,1,200257.0,74.8797,4431000.0,59839.0,51.9
2586,1,200257.0,74.8797,4431000.0,59839.0,51.9
2585,1,200257.0,74.8797,4431000.0,59839.0,51.9
2584,1,200257.0,74.8797,4431000.0,59839.0,51.9
377,1,194567.0,74.7737,4431000.0,57751.0,51.9
5592,1,194567.0,74.7737,4407000.0,57751.0,51.9
2583,1,194567.0,74.7737,4407000.0,57751.0,51.9
2582,1,194567.0,74.7737,4407000.0,57751.0,55.2
2581,1,194567.0,74.7737,4407000.0,57751.0,55.2
2580,1,194567.0,74.7737,4407000.0,57751.0,55.2
2579,1,194567.0,74.7737,4407000.0,57751.0,55.2
5593,1,194567.0,74.7737,4403000.0,57751.0,55.2
2578,1,194567.0,74.7737,4403000.0,57751.0,55.2
2577,1,194567.0,74.7737,4403000.0,57751.0,55.2
2576,1,194567.0,74.7737,4403000.0,57751.0,55.2
2575,1,194567.0,74.7737,4403000.0,57751.0,55.2
2574,1,194567.0,74.7737,4403000.0,57751.0,55.2
5594,1,194567.0,74.7737,4348000.0,57751.0,55.2
2573,1,194567.0,74.7737,4348000.0,57751.0,55.2
2572,1,194567.0,74.7737,4348000.0,57751.0,55.2
2571,1,194567.0,74.7737,4348000.0,57751.0,55.2
2570,1,194567.0,74.7737,4348000.0,57751.0,55.2
2569,1,194567.0,74.7737,4348000.0,57751.0,55.2
5595,1,194567.0,74.7737,4331000.0,57751.0,55.2
2568,1,194567.0,74.7737,4331000.0,57751.0,55.2
2567,1,194567.0,74.7737,4331000.0,57751.0,55.2
2566,1,194567.0,74.7737,4331000.0,57751.0,55.2
2565,1,194567.0,74.7737,4331000.0,57751.0,55.2
2564,1,194567.0,74.7737,4331000.0,57751.0,55.2
5596,1,194567.0,74.7737,4328000.0,57751.0,55.2
378,1,196177.0,74.8673,4328000.0,60426.0,54.8
2563,1,196177.0,74.8673,4328000.0,60426.0,54.8
2562,1,196177.0,74.8673,4328000.0,60426.0,54.8
2561,1,196177.0,74.8673,4328000.0,60426.0,54.8
2560,1,196177.0,74.8673,4328000.0,60426.0,54.8
5597,1,196177.0,74.8673,4270000.0,60426.0,54.8
2559,1,196177.0,74.8673,4270000.0,60426.0,54.8
2558,1,196177.0,74.8673,4270000.0,60426.0,54.8
2557,1,196177.0,74.8673,4270000.0,60426.0,54.8
2556,1,196177.0,74.8673,4270000.0,60426.0,54.8
2555,1,196177.0,74.8673,4270000.0,60426.0,54.8
5598,1,196177.0,74.8673,4176000.0,60426.0,54.8
2554,1,196177.0,74.8673,4176000.0,60426.0,54.8
2553,1,196177.0,74.8673,4176000.0,60426.0,54.8
