DATE,무역 가중치 미국 달러 인덱스
2017-03-30,118.259
2017-03-31,118.5929
2017-04-03,118.3836
2017-04-04,118.5963
2017-04-05,118.4607
2017-04-06,118.5697
2017-04-07,118.4446
2017-04-10,118.6096
2017-04-11,118.7045
2017-04-12,118.6306
2017-04-13,118.0781
2017-04-14,118.0928
2017-04-17,118.0147
2017-04-18,118.0054
2017-04-19,118.7859
2017-04-20,118.6565
2017-04-21,118.6952
2017-04-24,118.3223
2017-04-25,118.6953
2017-04-26,119.2168
2017-04-27,119.2036
2017-04-28,118.9138
2017-05-01,118.5824
2017-05-02,118.5328
2017-05-03,118.5552
2017-05-04,119.0802
2017-05-05,119.0936
2017-05-08,119.3129
2017-05-09,119.4449
2017-05-10,119.0444
2017-05-11,118.8353
2017-05-12,118.4691
2017-05-15,118.0845
2017-05-16,117.9541
2017-05-17,118.0112
2017-05-18,119.1986
2017-05-19,118.3732
2017-05-22,118.3728
2017-05-23,118.4565
2017-05-24,118.3073
2017-05-25,117.9483
2017-05-26,117.8629
2017-05-29,0
2017-05-30,118.1941
2017-05-31,117.8603
2017-06-01,117.6977
2017-06-02,117.8194
2017-06-05,117.3754
2017-06-06,117.1443
2017-06-07,117.1117
2017-06-08,117.0235
2017-06-09,117.0239
2017-06-12,117.1532
2017-06-13,116.9366
2017-06-14,116.4436
2017-06-15,117.0605
2017-06-16,116.8402
2017-06-19,116.9616
2017-06-20,117.5474
2017-06-21,117.6436
2017-06-22,117.5593
2017-06-23,117.1964
2017-06-26,117.0416
2017-06-27,117.1191
2017-06-28,116.9288
2017-06-29,117.1427
2017-06-30,117.1543
2017-07-03,117.6329
2017-07-04,0
2017-07-05,117.9372
2017-07-06,117.9334
2017-07-07,117.6329
2017-07-10,117.2818
2017-07-11,117.2388
2017-07-12,116.6176
2017-07-13,116.4931
2017-07-14,115.966
2017-07-17,116.0241
2017-07-18,115.6337
2017-07-19,115.6164
2017-07-20,115.6726
2017-07-21,115.7771
2017-07-24,115.897
2017-07-25,116.0778
2017-07-26,116.0688
2017-07-27,115.8047
2017-07-28,115.9439
2017-07-31,116.0164
2017-08-01,115.8625
2017-08-02,115.8716
2017-08-03,116.0019
2017-08-04,116.0615
2017-08-07,116.2372
2017-08-08,116.0404
2017-08-09,116.1204
2017-08-10,115.8649
2017-08-11,115.8847
2017-08-14,115.7506
2017-08-15,116.0099
2017-08-16,115.8406
2017-08-17,115.7765
2017-08-18,115.7564
2017-08-21,115.4846
2017-08-22,115.4074
2017-08-23,115.4798
2017-08-24,115.4418
2017-08-25,115.0867
2017-08-28,115.1936
2017-08-29,115.2348
2017-08-30,115.0462
2017-08-31,115.0523
2017-09-01,114.7716
2017-09-04,0
2017-09-05,114.7892
2017-09-06,114.5976
2017-09-07,114.0376
2017-09-08,114.0676
2017-09-11,114.2128
2017-09-12,114.4765
2017-09-13,114.6438
2017-09-14,114.6101
2017-09-15,114.499
2017-09-18,114.7706
2017-09-19,114.8366
2017-09-20,114.5856
2017-09-21,115.0732
2017-09-22,114.8687
2017-09-25,115.4974
2017-09-26,115.9
2017-09-27,116.2341
2017-09-28,116.5643
2017-09-29,116.277
2017-10-02,116.4625
2017-10-03,116.4193
2017-10-04,116.3058
2017-10-05,116.4739
2017-10-06,116.9374
2017-10-09,0
2017-10-10,116.573
2017-10-11,116.6661
2017-10-12,116.7237
2017-10-13,116.7646
2017-10-16,117.1529
2017-10-17,117.3882
2017-10-18,117.2168
2017-10-19,116.9907
2017-10-20,117.3817
2017-10-23,117.6342
2017-10-24,117.8622
2017-10-25,117.734
2017-10-26,117.6991
2017-10-27,118.0488
2017-10-30,117.9749
2017-10-31,117.7415
2017-11-01,117.5097
2017-11-02,117.2983
2017-11-03,117.8818
2017-11-06,117.5844
