,feature,accuracy,precision,recall
2966,"['상품수지', 'INDPRO', 'UMCSENT']",0.810810811,1,0.125
2971,"['상품수지', 'INDPRO', '수출물가지수']",0.810810811,1,0.125
2972,"['상품수지', 'INDPRO', 'EXJPUS']",0.810810811,1,0.125
2982,"['상품수지', 'INDPRO', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
2985,"['상품수지', 'INDPRO', '환율평균']",0.837837838,1,0.25
3015,"['상품수지', 'RMFSL', 'HSN1F']",0.810810811,1,0.125
3024,"['상품수지', 'RMFSL', '수출물가지수']",0.810810811,1,0.125
3035,"['상품수지', 'RMFSL', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
3037,"['상품수지', 'RMFSL', 'IR3TCD01KRM156N']",0.810810811,1,0.125
3049,"['상품수지', 'CPIAUCSL', '수출물가지수']",0.810810811,1,0.125
3064,"['상품수지', 'HOUST', 'HSN1F']",0.810810811,1,0.125
3073,"['상품수지', 'HOUST', '수출물가지수']",0.837837838,1,0.25
3074,"['상품수지', 'HOUST', 'EXJPUS']",0.810810811,1,0.125
3087,"['상품수지', 'HOUST', '환율평균']",0.810810811,1,0.125
3089,"['상품수지', 'HSN1F', 'USSLIND']",0.810810811,1,0.125
3090,"['상품수지', 'HSN1F', 'TOTALSA']",0.810810811,1,0.125
3091,"['상품수지', 'HSN1F', 'UMCSENT']",0.810810811,1,0.125
3096,"['상품수지', 'HSN1F', '수출물가지수']",0.810810811,1,0.125
3097,"['상품수지', 'HSN1F', 'EXJPUS']",0.810810811,1,0.125
3101,"['상품수지', 'HSN1F', '정책금리']",0.810810811,1,0.125
3103,"['상품수지', 'HSN1F', 'GACDFSA066MSFRBPHI']",0.810810811,1,0.125
3107,"['상품수지', 'HSN1F', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
3108,"['상품수지', 'HSN1F', '한국실업률']",0.810810811,1,0.125
3109,"['상품수지', 'HSN1F', 'IR3TCD01KRM156N']",0.810810811,1,0.125
3110,"['상품수지', 'HSN1F', '환율평균']",0.810810811,1,0.125
3113,"['상품수지', 'FEDFUNDS', 'UMCSENT']",0.810810811,1,0.125
3118,"['상품수지', 'FEDFUNDS', '수출물가지수']",0.810810811,1,0.125
3130,"['상품수지', 'FEDFUNDS', '한국실업률']",0.810810811,1,0.125
3131,"['상품수지', 'FEDFUNDS', 'IR3TCD01KRM156N']",0.810810811,1,0.125
3134,"['상품수지', 'USSLIND', 'UMCSENT']",0.837837838,1,0.25
3139,"['상품수지', 'USSLIND', '수출물가지수']",0.837837838,1,0.25
3147,"['상품수지', 'USSLIND', 'XTIMVA01KRM667S']",0.810810811,1,0.125
3159,"['상품수지', 'TOTALSA', '수출물가지수']",0.810810811,1,0.125
3160,"['상품수지', 'TOTALSA', 'EXJPUS']",0.810810811,1,0.125
3173,"['상품수지', 'TOTALSA', '환율평균']",0.837837838,1,0.25
3174,"['상품수지', 'UMCSENT', '서울아파트매매가격지수']",0.810810811,1,0.125
3178,"['상품수지', 'UMCSENT', '수출물가지수']",0.810810811,1,0.125
3179,"['상품수지', 'UMCSENT', 'EXJPUS']",0.810810811,1,0.125
3183,"['상품수지', 'UMCSENT', '정책금리']",0.810810811,1,0.125
3189,"['상품수지', 'UMCSENT', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
3190,"['상품수지', 'UMCSENT', '한국실업률']",0.810810811,1,0.125
3196,"['상품수지', '서울아파트매매가격지수', '수출물가지수']",0.837837838,1,0.25
3204,"['상품수지', '서울아파트매매가격지수', 'XTIMVA01KRM667S']",0.810810811,1,0.125
3229,"['상품수지', '자가주거비포함지수', '수출물가지수']",0.810810811,1,0.125
3244,"['상품수지', '자가주거비', '수출물가지수']",0.810810811,1,0.125
