,DATE,미국 내구재 주문,미국 비농업 고용자수,미국 비농업 급여,미국 소비율,미국 소비자 물가 상승률,미국 신규 실업수당 청구건수,미국 신규주택착공,미국 신규주택판매 지수,미국 실업률,"미국 항공기 제외, 비국방 자본재 주문",컨퍼런스보드 소비자 심리지수,Close
249,2012-11-01,218940.0,134851.0,134851,11136.8,231.24900000000002,6602500.0,833.0,392.0,7.7,66737.0,143.7,3758.6154619999998
250,2012-12-01,229511.0,135088.0,135088,11140.5,231.22099999999998,8472200.0,976.0,399.0,7.9,66397.0,210.4,6567.705010000001
251,2013-01-01,218392.0,135283.0,135283,11202.8,231.679,13723000.0,888.0,446.0,8.0,69666.0,268.8,7359.680004000001
252,2013-02-01,229342.0,135562.0,135562,11239.6,232.937,3058750.0,962.0,447.0,7.7,66186.0,68.0,1979.8547429999999
253,2013-03-01,210493.0,135698.0,135698,11227.1,232.282,3037800.0,1010.0,444.0,7.5,65911.0,61.9,1990.2429989999998
254,2013-04-01,221382.0,135890.0,135890,11205.4,231.797,3041500.0,835.0,441.0,7.6,67245.0,69.0,1938.884083
255,2013-05-01,230679.0,136114.0,136114,11244.6,231.893,3012250.0,930.0,428.0,7.5,69054.0,74.3,1974.4537879999998
256,2013-06-01,240657.0,136295.0,136295,11268.8,232.445,2992800.0,839.0,470.0,7.5,68803.0,82.1,1884.4126170000002
257,2013-07-01,214999.0,136400.0,136400,11296.7,232.9,3020250.0,880.0,375.0,7.3,65978.0,81.0,1871.768268
258,2013-08-01,222323.0,136642.0,136642,11329.2,233.456,2934400.0,917.0,381.0,7.2,65882.0,81.8,1896.961897
259,2013-09-01,230374.0,136831.0,136831,11366.9,233.544,2895750.0,850.0,403.0,7.2,66200.0,80.2,1984.394457
260,2013-10-01,225155.0,137056.0,137056,11419.8,233.669,2928500.0,925.0,444.0,7.2,64322.0,72.4,2029.6752350000002
261,2013-11-01,238012.0,137323.0,137323,11487.6,234.1,5194000.0,1100.0,446.0,6.9,68263.0,144.4,4039.5995450000005
262,2013-12-01,230535.0,137390.0,137390,11517.9,234.71900000000002,9351000.0,1002.0,433.0,6.7,66857.0,221.9,6229.913532
263,2014-01-01,223000.0,137567.0,137567,11512.5,235.28799999999998,12227750.0,888.0,443.0,6.6,67962.0,301.3,8178.133032
264,2014-02-01,230424.0,137735.0,137735,11566.2,235.547,2848750.0,944.0,420.0,6.7,67110.0,78.3,1937.733002
265,2014-03-01,232316.0,137985.0,137985,11643.0,236.028,2779200.0,970.0,405.0,6.7,68192.0,83.9,1952.4295309999998
266,2014-04-01,235841.0,138312.0,138312,11702.6,236.468,2721000.0,1043.0,403.0,6.2,66236.0,81.7,1991.1913559999998
267,2014-05-01,231767.0,138533.0,138533,11748.4,236.918,2667400.0,1007.0,451.0,6.3,65504.0,82.2,1994.1347269999999
268,2014-06-01,235877.0,138857.0,138857,11817.0,237.231,2588750.0,911.0,418.0,6.1,69424.0,86.4,1995.083695
269,2014-07-01,290623.0,139084.0,139084,11860.5,237.498,2533500.0,1085.0,402.0,6.2,67521.0,90.3,2021.952186
270,2014-08-01,237140.0,139272.0,139272,11944.3,237.46,2504800.0,984.0,456.0,6.1,68353.0,93.4,2060.933484
271,2014-09-01,235558.0,139583.0,139583,11957.4,237.477,2447750.0,1023.0,470.0,5.9,69215.0,89.0,2042.7105390000002
272,2014-10-01,231044.0,139841.0,139841,12023.0,237.43,2423250.0,1074.0,476.0,5.7,65372.0,94.1,1942.8028739999997
273,2014-11-01,227599.0,140127.0,140127,12051.4,236.983,4347400.0,1001.0,442.0,5.8,64362.0,185.1,3999.5900149999998
274,2014-12-01,224958.0,140396.0,140396,12062.0,236.252,7814250.0,1073.0,497.0,5.6,65561.0,278.2,5751.059053
275,2015-01-01,228061.0,140609.0,140609,12046.0,234.718,8604400.0,1092.0,518.0,5.7,65854.0,382.0,7672.0519030000005
276,2015-02-01,219271.0,140857.0,140857,12082.4,235.236,2346750.0,888.0,544.0,5.5,64254.0,98.8,1961.00117
277,2015-03-01,228045.0,140934.0,140934,12158.3,236.005,2332000.0,962.0,480.0,5.4,64321.0,101.4,2012.6190960000001
278,2015-04-01,226242.0,141234.0,141234,12193.8,236.15599999999998,2278750.0,1191.0,501.0,5.4,63970.0,95.2,2107.268161
279,2015-05-01,217850.0,141553.0,141553,12268.1,236.97400000000002,2259000.0,1081.0,500.0,5.6,62649.0,95.4,2114.898899
280,2015-06-01,229480.0,141723.0,141723,12308.3,237.68400000000003,2274250.0,1199.0,480.0,5.3,63225.0,101.4,2063.685907
281,2015-07-01,228826.0,142016.0,142016,12355.4,238.053,2243250.0,1138.0,499.0,5.2,63979.0,90.9,2058.03435
