feature,precision
"['Volume', 'LREMTTTTUSM156S', 'TCU']",0.225806452
"['Volume', 'LREMTTTTUSM156S', 'INDPRO']",0.133333333
"['Volume', 'LREMTTTTUSM156S', 'PPIACO']",0.24137931
"['Volume', 'LREMTTTTUSM156S', 'RMFSL']",0.1
"['Volume', 'LREMTTTTUSM156S', 'CPIAUCSL']",0.194444444
"['Volume', 'LREMTTTTUSM156S', 'HOUST']",0.193548387
"['Volume', 'LREMTTTTUSM156S', 'HSN1F']",0.214285714
"['Volume', 'LREMTTTTUSM156S', 'FEDFUNDS']",0.225806452
"['Volume', 'LREMTTTTUSM156S', 'USSLIND']",0.208333333
"['Volume', 'LREMTTTTUSM156S', 'TOTALSA']",0.15
"['Volume', 'LREMTTTTUSM156S', 'UMCSENT']",0.2
"['Volume', 'LREMTTTTUSM156S', '서울아파트매매가격지수']",0.206896552
"['Volume', 'LREMTTTTUSM156S', 'AMBNS']",0.225806452
"['Volume', 'LREMTTTTUSM156S', '자가주거비포함지수']",0.2
"['Volume', 'LREMTTTTUSM156S', '자가주거비']",0.227272727
"['Volume', 'LREMTTTTUSM156S', '수출물가지수']",0.181818182
"['Volume', 'LREMTTTTUSM156S', 'EXJPUS']",0.222222222
"['Volume', 'LREMTTTTUSM156S', 'EXKOUS']",0.25
"['Volume', 'LREMTTTTUSM156S', 'EXCHUS']",0.206896552
"['Volume', 'LREMTTTTUSM156S', 'XTEXVA01CNM667S']",0.222222222
"['Volume', 'LREMTTTTUSM156S', '정책금리']",0.19047619
"['Volume', 'LREMTTTTUSM156S', '통화량']",0.227272727
"['Volume', 'LREMTTTTUSM156S', 'GACDFSA066MSFRBPHI']",0.181818182
"['Volume', 'LREMTTTTUSM156S', 'XTIMVA01KRM667S']",0.25
"['Volume', 'LREMTTTTUSM156S', 'KORPROINDMISMEI']",0.21875
"['Volume', 'LREMTTTTUSM156S', 'KORCPIALLMINMEI']",0.214285714
"['Volume', 'LREMTTTTUSM156S', 'LRUNTTTTKRM156S']",0.259259259
"['Volume', 'LREMTTTTUSM156S', '한국실업률']",0.208333333
"['Volume', 'LREMTTTTUSM156S', 'IR3TCD01KRM156N']",0.230769231
"['Volume', 'LREMTTTTUSM156S', '환율평균']",0.2
