DATE,Open,High,Low,Close,Adj Close,Volume,HM4UP,HM3UP
2017-10-01,2425.629883,2528.320068,2421.100098,2523.429932,2523.429932,5051400,1,1
2017-11-01,2535.969971,2561.629883,2474.280029,2476.370117,2476.370117,7083100,0,0
2017-12-01,2488.919922,2514.610107,2411.47998,2467.48999,2467.48999,5966800,0,0
2018-01-01,2474.860107,2607.100098,2465.939941,2566.459961,2566.459961,8253400,1,1
2018-02-01,2578.909912,2583.73999,2346.72998,2427.360107,2427.360107,7281100,0,0
2018-03-01,2406.570068,2508.709961,2374.800049,2445.850098,2445.850098,8078900,1,1
2018-04-01,2454.719971,2515.379883,2405.909912,2515.379883,2515.379883,10439800,0,0
2018-05-01,2515.75,2516.570068,2399.580078,2423.01001,2423.01001,12820500,0,0
2018-06-01,2419.629883,2479.560059,2296.389893,2326.129883,2326.129883,9450900,0,0
2018-07-01,2322.22998,2327.590088,2243.899902,2295.26001,2295.26001,7509300,0,0
2018-08-01,2301.169922,2322.879883,2218.090088,2322.879883,2322.879883,6204500,0,0
2018-09-01,2317.929932,2356.620117,2264.899902,2343.070068,2343.070068,5433100,0,0
2018-10-01,2349.639893,2352.110107,1985.949951,2029.689941,2029.689941,7022100,0,0
2018-11-01,2035.109985,2136.73999,2023.430054,2096.860107,2096.860107,6978800,1,1
2018-12-01,2127.780029,2136.639893,2014.280029,2041.040039,2041.040039,7631800,0,0
2019-01-01,2050.550049,2222.879883,1984.530029,2204.850098,2204.850098,9455200,1,1
2019-02-01,2211.929932,2241.76001,2167.360107,2195.439941,2195.439941,6882500,0,0
2019-03-01,2210.969971,2216.02002,2120.929932,2140.669922,2140.669922,6458000,0,0
2019-04-01,2153.310059,2252.050049,2153.310059,2203.590088,2203.590088,9164500,1,1
2019-05-01,2192.939941,2217.030029,2016.25,2041.73999,2041.73999,11243200,0,0
2019-06-01,2031.030029,2141.27002,2029.170044,2130.620117,2130.620117,11256800,1,1
2019-07-01,2147.23999,2147.23999,2052.030029,2066.26001,2066.26001,2626746300,0,0
