DATE,Open,High,Low,Close,Adj Close,Volume,HM4UP,LM4D
1991-04-01,480.179993,512.679993,479.119995,484.720001,484.720001,4113980000,1,0
1991-05-01,481.940002,506.119995,476.579987,506.109985,506.109985,3377720000,1,0
1991-06-01,505.839996,508.040009,470.920013,475.920013,475.920013,2835480000,0,1
1991-07-01,478.059998,502.130005,471.23999,502.040009,502.040009,3098110000,1,0
1991-08-01,502.269989,527.710022,487.079987,525.679993,525.679993,3274400000,1,0
1991-09-01,526.299988,529.210022,511.049988,526.880005,526.880005,3215650000,0,0
1991-10-01,527.140015,543.01001,513.210022,542.97998,542.97998,4070930000,0,0
1991-11-01,542.169983,558.159973,516.390015,523.900024,523.900024,3700150000,0,1
1991-12-01,519.47998,586.349976,518.630005,586.340027,586.340027,3632360000,1,0
1992-01-01,580.039978,632.98999,576.130005,620.210022,620.210022,5605540000,1,0
1992-02-01,620.570007,646.090027,617.080017,633.469971,633.469971,4219570000,1,0
1992-03-01,634.039978,637.210022,599.599976,603.77002,603.77002,4048220000,0,1
1992-04-01,598.619995,603.169983,557.059998,578.679993,578.679993,3946710000,0,1
1992-05-01,579.72998,591.210022,571.01001,585.309998,585.309998,3114980000,0,0
1992-06-01,583.669983,591.070007,545.950012,563.599976,563.599976,3589630000,0,1
1992-07-01,563.72998,581.01001,553.76001,580.830017,580.830017,3591650000,0,0
1992-08-01,579.619995,583.840027,550.359985,563.119995,563.119995,3083350000,0,1
1992-09-01,562.51001,594.210022,562.359985,583.27002,583.27002,3700770000,1,0
1992-10-01,581.080017,606.580017,551.719971,605.169983,605.169983,4223690000,1,1
1992-11-01,603.76001,652.75,603.309998,652.72998,652.72998,4404630000,1,0
1992-12-01,650.580017,676.950012,648.75,676.950012,676.950012,4949710000,1,0
1993-01-01,675.309998,711.030029,670.51001,696.340027,696.340027,5187460000,1,0
1993-02-01,697.97998,711.280029,647.789978,670.77002,670.77002,4973610000,0,1
1993-03-01,670.880005,697.409973,668.73999,690.130005,690.130005,5119150000,0,0
1993-04-01,690.820007,691.150024,644.710022,661.419983,661.419983,4887000000,0,1
1993-05-01,662.75,707.049988,661.429993,700.530029,700.530029,5106460000,1,0
1993-06-01,700.960022,706.630005,682.890015,703.950012,703.950012,5371310000,0,0
1993-07-01,702.01001,713.960022,694.530029,704.700012,704.700012,5191300000,0,0
1993-08-01,706.380005,742.909973,705.059998,742.840027,742.840027,5712060000,1,0
1993-09-01,743.650024,766.570007,724.47998,762.780029,762.780029,5776680000,0,0
1993-10-01,761.619995,791.200012,758.900024,779.26001,779.26001,6700790000,0,0
1993-11-01,780.369995,786.099976,737.669983,754.390015,754.390015,6246880000,0,1
1993-12-01,759.900024,776.869995,750.299988,776.799988,776.799988,6225130000,0,0
1994-01-01,774.109985,800.630005,768.409973,800.469971,800.469971,6683340000,0,0
1994-02-01,798.419983,799.98999,767.299988,792.5,792.5,5993960000,0,0
1994-03-01,792.099976,804.429993,731.849976,743.460022,743.460022,7321980000,0,1
1994-04-01,723.059998,755.349976,703.400024,733.840027,733.840027,5623380000,1,0
1994-05-01,733.969971,742.460022,703.840027,735.190002,735.190002,5743170000,0,1
1994-06-01,733.179993,744.940002,690.950012,705.960022,705.960022,6016150000,0,1
1994-07-01,706.289978,725.190002,699.409973,722.159973,722.159973,5335860000,0,0
1994-08-01,722.840027,767.599976,715.909973,765.619995,765.619995,6695930000,1,0
1994-09-01,763,779.580017,752.48999,764.289978,764.289978,5964610000,0,0
1994-10-01,764.469971,778.809998,737.619995,777.48999,777.48999,6625590000,0,0
1994-11-01,776.25,776.859985,728.780029,750.320007,750.320007,6188120000,0,1
1994-12-01,748.830017,751.97998,710.940002,751.960022,751.960022,6169730000,0,1
1995-01-01,751.309998,774.309998,740.469971,755.200012,755.200012,6429730000,0,0
1995-02-01,756.679993,796.02002,756.679993,793.72998,793.72998,6206060000,1,0
1995-03-01,794.330017,829.919983,790.349976,817.210022,817.210022,7600900000,1,0
1995-04-01,816.059998,844.419983,810.890015,843.97998,843.97998,6910700000,0,0
1995-05-01,844.719971,885.919983,839.429993,864.580017,864.580017,8133750000,1,0
1995-06-01,865.669983,941.169983,863.840027,933.450012,933.450012,8795140000,1,0
1995-07-01,933.98999,1023.030029,931.98999,1001.210022,1001.210022,9056140000,1,0
1995-08-01,1001.570007,1035.189941,970.809998,1020.109985,1020.109985,9872930000,0,0
1995-09-01,1019.419983,1070.22998,1008.440002,1043.540039,1043.540039,8983540000,1,0
